1. Which K-pop group headlined Coachella in 2023?
Blackpink
BTS
Enhypen
ATEEZ

2. Which K-pop group performed at the Grammys?
BTS
Seventeen
Stray Kids
Blackpink

3. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

4.QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

5. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

6.QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

7. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

8. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

9. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

10. QUESTION
CORRECT ANSWER
ANSWER CHOICE
ANSWER CHOICE
ANSWER CHOICE

